HLHHLHHLLLLHLLLHHHHHLLHLLHHHLHHHHLHLLHLHLLHLHLHHHHHHLLLHLHHHHLLL
W_LIST: -0.363501 3.70294 -5.1462 -3.12526 -2.32037 0.854761 -0.45665 3.44138 3.16762 -3.56764 -4.34868 -4.60152 3.47975 -0.00620003 3.35993 0.742711 4.31176 2.63741 1.1408 0.54879 4.69401 0.934543 4.40294 0.383777 5.12644 1.32549 3.31176 2.92567 -4.82614 4.38551 2.15115 -0.458917 2.62445 -2.72312 0.196303 1.06495 -1.32926 -4.04485 -0.411694 -1.13378 0.408145 -4.92726 -4.20655 2.21798 3.89868 -4.07814 -2.15028 -1.06217 -2.16077 3.85969 1.69091 -4.83507 0.243109 -2.8161 1.41511 2.4137 1.0913 -3.72604 -5.2121 0.371194 -0.104699 3.96473 0.243577 0.604849 
st	op	ed	phy
SITE: 48	49	51	0
SITE: 48	51	52	1
SITE: 50	53	54	0
SITE: 48	50	54	0
SITE: 42	44	45	0
SITE: 56	58	59	1
SITE: 28	29	31	0
SITE: 27	28	31	0
SITE: 30	32	33	0
SITE: 27	30	33	0
SITE: 27	33	34	0
SITE: 11	12	14	1
SITE: 11	14	15	1
SITE: 11	13	16	0
SITE: 22	24	25	1
SITE: 21	22	25	0
SITE: 19	20	23	1
SITE: 11	16	17	0
SITE: 11	17	18	0
SITE: 15	18	21	0
SITE: 11	15	21	0
SITE: 11	21	23	1
SITE: 11	19	25	0
SITE: 4	5	7	0
SITE: 0	2	3	1
SITE: 1	3	6	1
SITE: 0	1	6	1
SITE: 0	4	7	0
SITE: 42	45	46	0
SITE: 35	37	38	1
SITE: 55	57	59	1
SITE: 52	55	56	0
SITE: 48	54	56	1
SITE: 48	56	59	1
SITE: 11	25	26	0
SITE: 23	26	31	0
SITE: 11	27	31	0
SITE: 11	31	34	0
SITE: 6	7	9	1
SITE: 0	8	9	1
SITE: 40	41	43	0
SITE: 40	42	46	1
SITE: 39	43	46	1
SITE: 10	11	34	1
SITE: 6	10	23	0
SITE: 0	9	23	0
SITE: 0	0	34	1
SITE: 47	48	59	1
SITE: 40	46	52	1
SITE: 40	47	59	1
SITE: 39	40	59	1
SITE: 36	39	52	1
SITE: 36	38	59	0
SITE: 35	36	59	0
SITE: 23	35	52	1
SITE: 6	6	52	1
SITE: 23	52	59	1
SITE: 34	60	61	1
SITE: 23	59	61	1
SITE: 23	61	62	1
SITE: 23	63	63	1
SITE: 23	62	62	0
SITE: 23	23	34	1
WARN: Unitary gate is identity
SITE: 34	34	34	0
MPS Info: 9.10814 0.300374 0.00225275 
Writing MPS done!
