LLHLHLLHLLHLLHLLLHLLHLLLLHLHLHLLLLLLLLHLHHLLLHHHHHLHHHLHHHLLLLLL
W_LIST: -1.14439 4.50166 2.12307 -4.24454 4.77214 -2.20931 -1.51132 -1.37966 4.46745 -2.0624 -1.38921 2.83328 -4.2304 -2.58119 -4.07657 0.736088 3.20074 0.124392 1.43166 4.07166 3.91708 -1.81596 -3.13475 -4.64818 4.7151 0.465837 -4.27749 -3.45386 -0.230049 2.19144 -0.429672 -4.44386 -3.87474 2.23044 -0.523817 -0.535743 4.11984 -2.93156 2.77027 2.38511 2.91505 -1.81261 3.47045 4.89694 -2.92219 2.65335 0.650219 1.49385 -1.22235 -4.92381 2.78945 2.27511 1.57219 2.78706 -2.27984 -4.82459 -4.01604 -4.92606 -2.83597 -4.5594 4.1127 1.62196 2.05598 -0.233948 
st	op	ed	phy
SITE: 2	4	5	0
SITE: 23	24	26	1
SITE: 35	36	38	1
SITE: 41	43	44	1
SITE: 41	44	45	0
SITE: 41	45	46	0
SITE: 0	1	3	1
SITE: 0	3	5	0
SITE: 47	49	50	1
SITE: 42	47	48	0
SITE: 41	42	48	1
SITE: 41	48	50	1
SITE: 40	41	50	1
SITE: 22	23	26	0
SITE: 20	22	25	0
SITE: 20	21	26	0
SITE: 16	18	19	1
SITE: 17	20	25	0
SITE: 17	19	26	1
SITE: 16	17	26	1
SITE: 14	16	25	1
SITE: 14	15	26	1
SITE: 13	14	26	0
SITE: 11	12	25	0
SITE: 11	13	26	1
SITE: 10	11	26	1
SITE: 28	29	31	0
SITE: 27	28	31	1
SITE: 58	59	61	0
SITE: 57	60	61	1
SITE: 58	62	63	1
SITE: 57	58	63	0
SITE: 30	31	33	0
SITE: 30	32	34	0
SITE: 27	33	34	1
SITE: 25	26	30	0
SITE: 25	27	34	1
SITE: 10	25	34	0
SITE: 52	53	55	0
SITE: 52	55	56	1
SITE: 54	57	61	1
SITE: 54	56	63	1
SITE: 52	54	63	0
SITE: 8	9	30	0
SITE: 8	10	34	1
SITE: 7	8	34	1
SITE: 30	34	37	0
SITE: 7	35	37	0
SITE: 7	37	38	0
SITE: 7	38	39	0
SITE: 30	39	46	1
SITE: 30	40	50	0
SITE: 7	46	50	0
SITE: 6	7	50	1
SITE: 2	5	30	0
SITE: 2	6	50	0
SITE: 0	2	50	0
SITE: 51	52	63	0
SITE: 30	51	61	0
SITE: 0	50	61	1
SITE: 0	0	63	0
SITE: 30	63	63	0
WARN: Unitary gate is identity
SITE: 61	61	61	1
WARN: Unitary gate is identity
SITE: 30	30	30	1
MPS Info: -24.3137 0.402047 0.0025069 
Writing MPS done!
