LLLLLLLLHLLHHLHLHHLHHHLLLHHHHLLHHLLHLHLHHLHHLHHLLLHLLHLHHHHHLLHL
W_LIST: 7.41493 -0.365338 -0.581155 -0.874478 -7.8974 -7.52994 -5.49236 3.39609 3.81639 4.12934 7.24827 -5.75559 3.67346 -2.98529 5.57903 0.271358 -5.17034 1.24335 2.12999 5.82273 6.48346 -7.93103 -6.23112 3.67766 -0.414089 -6.02018 -6.22878 -4.54912 -2.27798 -5.41701 -7.59964 4.45132 6.39451 -1.22461 5.69877 3.38048 4.2065 -2.40732 4.80733 -6.60546 6.20533 6.51778 -4.85464 5.69453 0.915379 -3.07864 -3.7007 3.95004 -7.64671 5.69725 -0.516087 1.50203 -3.41522 -5.9535 -2.04448 3.43126 -6.85243 0.75418 -7.22796 -7.78055 2.93102 6.19393 -0.18931 0.870727 
st	op	ed	phy
SITE: 46	48	49	0
SITE: 46	49	50	1
SITE: 47	51	52	1
SITE: 46	47	52	1
SITE: 10	11	13	1
SITE: 10	12	14	0
SITE: 10	14	15	0
SITE: 10	13	16	0
SITE: 10	16	17	1
SITE: 37	39	40	1
SITE: 9	10	17	1
SITE: 38	41	42	1
SITE: 38	42	43	1
SITE: 37	40	43	0
SITE: 38	43	45	0
SITE: 37	38	45	1
SITE: 36	37	45	1
SITE: 44	46	50	1
SITE: 44	45	52	1
SITE: 36	50	52	1
SITE: 44	53	54	1
SITE: 36	52	54	0
SITE: 44	55	56	0
SITE: 36	54	56	0
SITE: 36	56	57	1
SITE: 36	44	58	1
SITE: 59	61	62	1
SITE: 20	21	23	1
SITE: 20	22	24	0
SITE: 20	23	25	1
SITE: 30	32	33	0
SITE: 29	30	33	0
SITE: 28	31	33	0
SITE: 28	29	34	0
SITE: 27	28	34	1
SITE: 27	34	35	1
SITE: 33	36	57	1
SITE: 27	35	57	0
SITE: 27	33	58	0
SITE: 57	59	60	1
SITE: 27	58	60	1
SITE: 27	60	62	1
SITE: 27	62	63	1
SITE: 26	27	63	1
SITE: 24	26	57	1
SITE: 24	25	63	1
SITE: 20	24	63	0
SITE: 9	17	18	0
SITE: 9	18	19	1
SITE: 15	20	57	0
SITE: 9	19	57	0
SITE: 9	15	63	1
SITE: 8	9	63	1
SITE: 6	8	57	0
SITE: 6	7	63	1
SITE: 5	6	63	0
SITE: 3	4	57	0
SITE: 3	5	63	0
SITE: 2	57	63	1
SITE: 1	2	63	0
SITE: 0	0	63	1
SITE: 1	3	63	1
SITE: 1	1	63	0
WARN: Unitary gate is identity
SITE: 63	63	63	1
MPS Info: 6.30831 0.406249 5.92078e-06 
Writing MPS done!
