LHLHLHHLLLLLLHHLLHHLLHLLHLHHHHHHLHHHLLLLLLLHLHLHLHLHHLHHHHHLLLLL
W_LIST: 4.49824 6.66837 5.14439 -2.36221 4.41171 -2.63289 -4.316 4.98222 1.36419 -7.50592 -7.02096 -1.96764 8.2632 -6.06259 -4.3135 -1.15339 -6.70289 7.93156 -6.2242 -6.21474 6.78327 -4.24969 4.86165 4.87876 -5.06449 -1.58917 7.73921 3.37393 1.94942 2.38719 2.38039 8.29371 -0.959705 8.14651 -1.83225 8.19154 1.36746 -6.30223 2.72255 8.18999 5.13978 1.28257 8.32592 -1.13654 7.62134 4.83948 1.63745 2.55858 -7.75767 4.93765 -6.8172 -7.65886 -2.43079 -5.49745 -6.08774 0.916865 0.499255 -5.15379 -8.97535 -0.406116 4.71885 -8.73399 6.20589 -7.36185 
st	op	ed	phy
SITE: 60	61	63	0
SITE: 58	60	62	1
SITE: 58	62	63	1
SITE: 57	58	63	1
SITE: 56	57	63	1
SITE: 34	35	37	0
SITE: 33	36	37	1
SITE: 33	37	38	0
SITE: 32	33	38	0
SITE: 32	38	39	1
SITE: 31	34	39	1
SITE: 30	31	39	0
SITE: 32	39	41	1
SITE: 30	40	41	1
SITE: 32	42	43	1
SITE: 30	41	43	1
SITE: 30	43	44	1
SITE: 47	48	50	0
SITE: 23	24	26	1
SITE: 23	26	27	0
SITE: 19	20	22	1
SITE: 6	7	9	1
SITE: 4	6	8	1
SITE: 4	5	9	1
SITE: 3	4	9	1
SITE: 2	3	9	1
SITE: 32	44	46	1
SITE: 30	45	46	0
SITE: 32	47	49	0
SITE: 30	46	49	1
SITE: 30	49	50	0
SITE: 32	51	52	1
SITE: 30	50	52	0
SITE: 30	52	53	1
SITE: 54	55	59	0
SITE: 54	59	63	0
SITE: 32	53	56	0
SITE: 32	54	63	1
SITE: 30	56	63	0
SITE: 21	22	25	1
SITE: 21	23	27	1
SITE: 19	21	27	1
SITE: 1	2	9	1
SITE: 19	27	28	0
SITE: 0	1	9	0
SITE: 17	19	25	0
SITE: 17	18	28	1
SITE: 16	17	28	0
SITE: 15	16	28	0
SITE: 14	25	28	0
SITE: 12	13	15	1
SITE: 12	14	28	1
SITE: 11	12	28	1
SITE: 10	11	28	0
SITE: 8	9	15	0
SITE: 8	10	28	0
SITE: 0	0	28	1
SITE: 29	30	63	0
SITE: 15	29	32	0
SITE: 15	28	63	0
SITE: 8	63	63	0
SITE: 8	8	32	1
SITE: 15	15	32	0
WARN: Unitary gate is identity
SITE: 32	32	32	0
MPS Info: -12.1832 0.0536615 2.97678e-05 
Writing MPS done!
