LHHHHLHHHHHLHHLHHHLLLHLLHLLLHLLLLHLHLLLLLHHLHLLHHHLHLLLLHHHHLHLH
W_LIST: -1.90134 4.53988 4.02555 -5.19811 -4.45689 5.2435 8.31936 6.55822 0.427194 -0.916468 -4.35724 -0.36138 -6.79997 -5.74067 8.09006 -1.40831 8.40261 -5.27473 7.23061 -6.40935 -2.15594 3.33689 0.0197861 3.50479 -2.80274 5.50803 -5.58776 3.64873 1.41226 4.37751 -4.06366 7.04538 -6.41762 -6.70161 -8.99376 -8.61661 -3.80339 7.83991 7.32799 -8.2411 1.07326 -0.568631 -3.60115 -6.23858 4.69377 -1.7204 -4.19597 -1.50271 -4.85825 4.25571 -8.21761 0.739789 -8.59881 5.07395 3.36318 -0.447028 -8.62077 -2.72495 8.26797 -0.542664 3.69249 1.27817 -8.27255 -2.51168 
st	op	ed	phy
SITE: 29	31	32	1
SITE: 15	16	18	0
SITE: 13	14	17	1
SITE: 13	17	18	1
SITE: 13	18	19	1
SITE: 15	19	21	0
SITE: 13	20	21	0
SITE: 13	21	22	0
SITE: 15	23	24	1
SITE: 13	15	24	1
SITE: 13	24	25	1
SITE: 13	25	26	1
SITE: 13	26	27	0
SITE: 55	56	58	1
SITE: 55	58	59	0
SITE: 54	57	59	1
SITE: 54	55	60	0
SITE: 52	53	59	1
SITE: 52	54	60	1
SITE: 51	52	60	0
SITE: 49	50	59	0
SITE: 49	51	60	0
SITE: 48	49	60	0
SITE: 47	48	60	1
SITE: 13	27	28	1
SITE: 22	29	30	1
SITE: 13	28	30	0
SITE: 13	30	32	0
SITE: 46	47	60	1
SITE: 44	46	59	0
SITE: 44	45	60	0
SITE: 43	44	60	0
SITE: 11	12	22	1
SITE: 11	13	32	1
SITE: 10	11	32	0
SITE: 9	10	32	1
SITE: 7	9	22	1
WARN: Unitary gate is identity
SITE: 22	22	22	0
SITE: 41	43	59	0
SITE: 41	42	60	1
SITE: 39	40	59	1
SITE: 39	41	60	1
SITE: 38	39	60	0
SITE: 38	60	61	1
SITE: 38	61	62	0
SITE: 38	62	63	0
SITE: 6	7	32	0
SITE: 4	6	8	0
SITE: 4	5	32	1
SITE: 36	37	59	1
SITE: 36	38	63	1
SITE: 35	36	63	0
SITE: 2	3	8	1
SITE: 2	4	32	1
SITE: 0	1	8	0
SITE: 0	2	32	0
SITE: 33	34	59	0
SITE: 33	35	63	1
SITE: 8	32	59	0
SITE: 0	33	59	1
SITE: 0	63	63	1
SITE: 0	0	59	0
SITE: 8	59	59	1
WARN: Unitary gate is identity
SITE: 8	8	8	0
MPS Info: -14.2542 0.173366 0.00836879 
Writing MPS done!
